SYS_FIELD_NAME,FIELD_DESC
YEAR,Year
MONTH,Month
ORIGIN_AIRPORT_ID,"Origin Airport, Airport ID. An identification number assigned by US DOT to identify a unique airport.  Use this field for airport analysis across a range of years because an airport can change its airport code and airport codes can be reused."
ORIGIN,Origin Airport
DEST_AIRPORT_ID,"Destination Airport, Airport ID. An identification number assigned by US DOT to identify a unique airport.  Use this field for airport analysis across a range of years because an airport can change its airport code and airport codes can be reused."
DEST,Destination Airport
AIRCRAFT_TYPE,Aircraft Type
PASSENGERS,Non-Stop Segment Passengers Transported
DISTANCE,Distance between airports (miles)
